Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0402_1005Metric",133.910000,-53.075000,0.000000,top
"D2","LED","LED_0402_1005Metric",133.082500,-54.385000,-90.000000,top
"D3","LED","LED_0402_1005Metric",133.082500,-57.000000,90.000000,top
"D4","LED","LED_0402_1005Metric",133.900000,-58.325000,0.000000,top
"D5","LED","LED_0402_1005Metric",133.910000,-55.700000,180.000000,top
"D6","LED","LED_0402_1005Metric",134.732500,-54.385000,90.000000,top
"D7","LED","LED_0402_1005Metric",134.732500,-57.000000,-90.000000,top
"D8","LED","LED_0402_1005Metric",135.867500,-58.325000,180.000000,top
"D9","LED","LED_0402_1005Metric",137.200000,-54.385000,-90.000000,top
"D10","LED","LED_0402_1005Metric",137.200000,-57.000000,90.000000,top
"D11","LED","LED_0402_1005Metric",138.027500,-53.075000,0.000000,top
"D12","LED","LED_0402_1005Metric",138.027500,-55.700000,180.000000,top
"D13","LED","LED_0402_1005Metric",138.017500,-58.325000,0.000000,top
"D14","LED","LED_0402_1005Metric",138.850000,-54.385000,90.000000,top
"D15","LED","LED_0402_1005Metric",138.850000,-57.000000,-90.000000,top
"D16","LED","LED_0402_1005Metric",140.010000,-58.325000,180.000000,top
"D17","LED","LED_0402_1005Metric",141.350000,-54.385000,-90.000000,top
"D18","LED","LED_0402_1005Metric",141.350000,-57.000000,90.000000,top
"D19","LED","LED_0402_1005Metric",142.177500,-53.075000,0.000000,top
"D20","LED","LED_0402_1005Metric",142.177500,-55.700000,180.000000,top
"D21","LED","LED_0402_1005Metric",142.167500,-58.325000,0.000000,top
"D22","LED","LED_0402_1005Metric",143.000000,-54.385000,90.000000,top
"D23","LED","LED_0402_1005Metric",143.000000,-57.000000,-90.000000,top
"D24","LED","LED_0402_1005Metric",144.160000,-58.325000,180.000000,top
"D25","LED","LED_0402_1005Metric",145.500000,-54.385000,-90.000000,top
"D26","LED","LED_0402_1005Metric",145.500000,-57.000000,90.000000,top
"D27","LED","LED_0402_1005Metric",146.327500,-53.075000,0.000000,top
"D28","LED","LED_0402_1005Metric",146.327500,-55.700000,180.000000,top
"D29","LED","LED_0402_1005Metric",146.317500,-58.325000,0.000000,top
"D30","LED","LED_0402_1005Metric",147.150000,-54.385000,90.000000,top
"D31","LED","LED_0402_1005Metric",147.150000,-57.000000,-90.000000,top
"D32","LED","LED_0402_1005Metric",148.310000,-58.325000,180.000000,top
"D33","LED","LED_0402_1005Metric",149.650000,-54.385000,-90.000000,top
"D34","LED","LED_0402_1005Metric",149.650000,-57.000000,90.000000,top
"D35","LED","LED_0402_1005Metric",150.477500,-53.075000,0.000000,top
"D36","LED","LED_0402_1005Metric",150.477500,-55.700000,180.000000,top
"D37","LED","LED_0402_1005Metric",150.467500,-58.325000,0.000000,top
"D38","LED","LED_0402_1005Metric",151.300000,-54.385000,90.000000,top
"D39","LED","LED_0402_1005Metric",151.300000,-57.000000,-90.000000,top
"D40","LED","LED_0402_1005Metric",152.460000,-58.325000,180.000000,top
"D41","LED","LED_0402_1005Metric",153.800000,-54.385000,-90.000000,top
"D42","LED","LED_0402_1005Metric",153.800000,-57.000000,90.000000,top
"D43","LED","LED_0402_1005Metric",154.627500,-53.075000,0.000000,top
"D44","LED","LED_0402_1005Metric",154.627500,-55.700000,180.000000,top
"D45","LED","LED_0402_1005Metric",154.617500,-58.325000,0.000000,top
"D46","LED","LED_0402_1005Metric",155.450000,-54.385000,90.000000,top
"D47","LED","LED_0402_1005Metric",155.450000,-57.000000,-90.000000,top
"D48","LED","LED_0402_1005Metric",156.610000,-58.325000,180.000000,top
"D49","LED","LED_0402_1005Metric",157.950000,-54.385000,-90.000000,top
"D50","LED","LED_0402_1005Metric",157.950000,-57.000000,90.000000,top
"D51","LED","LED_0402_1005Metric",158.777500,-53.075000,0.000000,top
"D52","LED","LED_0402_1005Metric",158.777500,-55.700000,180.000000,top
"D53","LED","LED_0402_1005Metric",158.767500,-58.325000,0.000000,top
"D54","LED","LED_0402_1005Metric",159.600000,-54.385000,90.000000,top
"D55","LED","LED_0402_1005Metric",159.600000,-57.000000,-90.000000,top
"D56","LED","LED_0402_1005Metric",160.760000,-58.325000,180.000000,top
"D57","LED","LED_0402_1005Metric",162.100000,-54.385000,-90.000000,top
"D58","LED","LED_0402_1005Metric",162.100000,-57.000000,90.000000,top
"D59","LED","LED_0402_1005Metric",162.927500,-53.075000,0.000000,top
"D60","LED","LED_0402_1005Metric",162.927500,-55.700000,180.000000,top
"D61","LED","LED_0402_1005Metric",162.917500,-58.325000,0.000000,top
"D62","LED","LED_0402_1005Metric",163.750000,-54.385000,90.000000,top
"D63","LED","LED_0402_1005Metric",163.750000,-57.000000,-90.000000,top
"D64","LED","LED_0402_1005Metric",164.910000,-58.325000,180.000000,top
"D65","LED","LED_0402_1005Metric",166.250000,-54.385000,-90.000000,top
"D66","LED","LED_0402_1005Metric",166.250000,-57.000000,90.000000,top
"D67","LED","LED_0402_1005Metric",167.077500,-53.075000,0.000000,top
"D68","LED","LED_0402_1005Metric",167.077500,-55.700000,180.000000,top
"D69","LED","LED_0402_1005Metric",167.067500,-58.325000,0.000000,top
"D70","LED","LED_0402_1005Metric",167.900000,-54.385000,90.000000,top
"D71","LED","LED_0402_1005Metric",167.900000,-57.000000,-90.000000,top
"D72","LED","LED_0402_1005Metric",169.060000,-58.325000,180.000000,top
"D73","LED","LED_0402_1005Metric",170.400000,-54.385000,-90.000000,top
"D74","LED","LED_0402_1005Metric",170.400000,-57.000000,90.000000,top
"D75","LED","LED_0402_1005Metric",171.227500,-53.075000,0.000000,top
"D76","LED","LED_0402_1005Metric",171.227500,-55.700000,180.000000,top
"D77","LED","LED_0402_1005Metric",171.217500,-58.325000,0.000000,top
"D78","LED","LED_0402_1005Metric",172.050000,-54.385000,90.000000,top
"D79","LED","LED_0402_1005Metric",172.050000,-57.000000,-90.000000,top
"D80","LED","LED_0402_1005Metric",173.210000,-58.325000,180.000000,top
"D81","LED","LED_0402_1005Metric",174.550000,-54.385000,-90.000000,top
"D82","LED","LED_0402_1005Metric",174.550000,-57.000000,90.000000,top
"D83","LED","LED_0402_1005Metric",175.377500,-53.075000,0.000000,top
"D84","LED","LED_0402_1005Metric",175.377500,-55.700000,180.000000,top
"D85","LED","LED_0402_1005Metric",175.367500,-58.325000,0.000000,top
"D86","LED","LED_0402_1005Metric",176.200000,-54.385000,90.000000,top
"D87","LED","LED_0402_1005Metric",176.200000,-57.000000,-90.000000,top
"D88","LED","LED_0402_1005Metric",177.360000,-58.325000,180.000000,top
"D89","LED","LED_0402_1005Metric",178.700000,-54.385000,-90.000000,top
"D90","LED","LED_0402_1005Metric",178.700000,-57.000000,90.000000,top
"D91","LED","LED_0402_1005Metric",179.527500,-53.075000,0.000000,top
"D92","LED","LED_0402_1005Metric",179.527500,-55.700000,180.000000,top
"D93","LED","LED_0402_1005Metric",179.517500,-58.325000,0.000000,top
"D94","LED","LED_0402_1005Metric",180.350000,-54.385000,90.000000,top
"D95","LED","LED_0402_1005Metric",180.350000,-57.000000,-90.000000,top
"D96","LED","LED_0402_1005Metric",181.510000,-58.325000,180.000000,top
